Company, CIK, Filing form type, Year, Quarter, Filing date, Filelink
NCINO INC,1566895,10Q,2020,Q4,2020-01-01,1566895_10Q_2021_0001566895-21-000020.htm
ACI WORLDWIDE INC,935036,10Q,2020,Q4,2020-01-01,935036_10Q_2021_0000935036-21-000053.htm
GTY TECHNOLOGY HOLDINGS,1682325,8K,2021,Q2,2021-07-01,1682325_8K_2021_0001104659-21-096057.htm
PROS HOLDINGS INC,1392972,8K,2021,Q4,2021-11-01,1392972_8K_2021_0001392972-21-000104.htm
GSE SYSTEMS INC,944480,8K,2021,Q1,2021-04-01,944480_8K_2021_0000944480-21-000017.htm
2U INC,1459417,10K,2019,Q4,2019-01-01,1459417_10K_2020_0001459417-21-000003.htm
PARETEUM CORP,1084384,8K,2021,Q3,2021-08-01,1084384_8K_2021_0001628280-21-017439.htm
AGILYSYS INC,78749,10Q,2020,Q4,2020-01-01,78749_10Q_2021_0001564590-21-052677.htm
BLACKLINE INC,1666134,8K,2021,Q4,2021-11-01,1666134_8K_2021_0001171843-21-007560.htm
GUIDEWIRE SOFTWARE INC,1528396,8K,2021,Q2,2021-06-01,1528396_8K_2021_0001528396-21-000026.htm
VERINT SYSTEMS INC,1166388,8K,2021,Q3,2021-09-01,1166388_8K_2021_0001166388-21-000117.htm
NUTANIX INC,1618732,8K,2021,Q1,2021-02-01,1618732_8K_2021_0001157523-21-000248.htm
PARETEUM CORP,1084384,8K,2021,Q2,2021-06-01,1084384_8K_2021_0001628280-21-012458.htm
ASPEN TECHNOLOGY INC,929940,8K,2021,Q3,2021-08-01,929940_8K_2021_0000929940-21-000049.htm
TENABLE HOLDINGS INC,1660280,8K,2021,Q1,2021-04-01,1660280_8K_2021_0001660280-21-000050.htm
NUANCE COMMUNICATIONS INC,1002517,8K,2021,Q1,2021-04-01,1002517_8K_2021_0001193125-21-113796.htm
MIX TELEMATICS LTD,1576914,8K,2021,Q4,2021-12-01,1576914_8K_2021_0001628280-21-025443.htm
ZENDESK INC,1463172,8K,2021,Q1,2021-04-01,1463172_8K_2021_0001193125-21-107751.htm
ZUORA INC,1423774,8K,2021,Q2,2021-05-01,1423774_8K_2021_0001423774-21-000039.htm
MIX TELEMATICS LTD,1576914,10K,2019,Q4,2019-01-01,1576914_10K_2021_0001628280-21-012152.htm
TERADATA CORP,816761,8K,2021,Q4,2021-11-01,816761_8K_2021_0000816761-21-000034.htm
YEXT INC,1614178,10Q,2020,Q4,2020-01-01,1614178_10Q_2021_0001614178-21-000211.htm
QAD INC,1036188,8K,2021,Q4,2021-11-01,1036188_8K_2021_0001104659-21-133099.htm
INTELLINETICS INC,1081745,10Q,2020,Q4,2020-01-01,1081745_10Q_2021_0001493152-21-019927.htm
ALTERYX INC,1689923,8K,2021,Q1,2021-04-01,1689923_8K_2021_0001193125-21-140424.htm
PING IDENTITY HOLDING CORP,1679826,10Q,2020,Q4,2020-01-01,1679826_10Q_2021_0001558370-21-010264.htm
EGAIN CORP,1066194,8K,2021,Q4,2021-11-01,1066194_8K_2021_0001558370-21-015266.htm
ANAPLAN INC,1540755,8K,2021,Q4,2021-11-01,1540755_8K_2021_0001540755-21-000064.htm
SYNOPSYS INC,883241,8K,2021,Q2,2021-06-01,883241_8K_2021_0001193125-21-198706.htm
EVERBRIDGE INC,1437352,8K,2020,Q4,2020-01-01,1437352_8K_2021_0001193125-21-012523.htm
VERINT SYSTEMS INC,1166388,8K,2021,Q1,2021-04-01,1166388_8K_2021_0001193125-21-106499.htm
MIX TELEMATICS LTD,1576914,8K,2020,Q4,2020-01-01,1576914_8K_2021_0001628280-21-000471.htm
CROWDSTRIKE HOLDINGS INC,1535527,8K,2021,Q2,2021-07-01,1535527_8K_2021_0001104659-21-089005.htm
VERB TECHNOLOGY CO INC,1566610,10Q,2020,Q4,2020-01-01,1566610_10Q_2021_0001493152-21-020173.htm
AGILYSYS INC,78749,10Q,2019,Q4,2019-01-01,78749_10Q_2020_0001564590-21-002613.htm
UNITY SOFTWARE INC,1810806,8K,2021,Q4,2021-11-01,1810806_8K_2021_0001193125-21-335182.htm
J2 GLOBAL INC,1084048,8K,2021,Q3,2021-10-01,1084048_8K_2021_0001193125-21-294838.htm
PROS HOLDINGS INC,1392972,10Q,2020,Q4,2020-01-01,1392972_10Q_2021_0001392972-21-000059.htm
PROOFPOINT INC,1212458,8K,2021,Q1,2021-04-01,1212458_8K_2021_0001193125-21-130393.htm
SMARTSHEET INC,1366561,8K,2021,Q1,2021-03-01,1366561_8K_2021_0001366561-21-000019.htm
FASTLY INC,1517413,8K,2021,Q2,2021-05-01,1517413_8K_2021_0001517413-21-000064.htm
TWILIO INC,1447669,10K,2020,Q4,2020-01-01,1447669_10K_2020_0001447669-21-000070.htm
BRIDGELINE DIGITAL INC,1378590,8K,2021,Q1,2021-02-01,1378590_8K_2021_0001437749-21-002254.htm
PROGRESS SOFTWARE CORP,876167,8K,2021,Q1,2021-04-01,876167_8K_2021_0000876167-21-000077.htm
INTELLIGENT SYSTEM CORP,320340,8K,2020,Q4,2020-01-01,320340_8K_2021_0001171843-21-000192.htm
PALO ALTO NETWORKS INC,1327567,8K,2021,Q3,2021-09-01,1327567_8K_2021_0001193125-21-267862.htm
CLOUDERA INC,1535379,10Q,2020,Q4,2020-01-01,1535379_10Q_2021_0001628280-21-011680.htm
FAIR ISAAC CORP,814547,10K,2020,Q4,2020-01-01,814547_10K_2021_0000814547-21-000019.htm
CHANNELADVISOR CORP,1169652,10Q,2020,Q4,2020-01-01,1169652_10Q_2021_0001169652-21-000078.htm
JACK IN THE BOX INC,807882,8K,2021,Q1,2021-02-01,807882_8K_2021_0001157523-21-000203.htm
SAILPOINT TECHNO HLDG,1627857,8K,2021,Q3,2021-08-01,1627857_8K_2021_0001627857-21-000047.htm
RAPID7 INC,1560327,8K,2021,Q1,2021-03-01,1560327_8K_2021_0001193125-21-087719.htm
SERVICENOW INC,1373715,8K,2021,Q3,2021-10-01,1373715_8K_2021_0001373715-21-000288.htm
SERVICENOW INC,1373715,8K,2020,Q4,2020-01-01,1373715_8K_2021_0001373715-21-000006.htm
CHANNELADVISOR CORP,1169652,8K,2021,Q4,2021-11-01,1169652_8K_2021_0001169652-21-000086.htm
JFROG LTD,1800667,8K,2021,Q4,2021-12-01,1800667_8K_2021_0001193125-21-359254.htm
ADOBE INC,796343,8K,2021,Q1,2021-03-01,796343_8K_2021_0000796343-21-000063.htm
INTUIT INC,896878,8K,2021,Q2,2021-05-01,896878_8K_2021_0000896878-21-000114.htm
SVMK INC,1739936,8K,2021,Q3,2021-10-01,1739936_8K_2021_0001193125-21-311487.htm
FORTINET INC,1262039,8K,2021,Q1,2021-02-01,1262039_8K_2021_0001193125-21-057281.htm
PAYCOM SOFTWARE INC,1590955,8K,2021,Q3,2021-09-01,1590955_8K_2021_0001193125-21-285520.htm
BENEFITFOCUS INC,1576169,8K,2021,Q4,2021-11-01,1576169_8K_2021_0001564590-21-053972.htm
ADOBE INC,796343,8K,2021,Q4,2021-12-01,796343_8K_2021_0000796343-21-000247.htm
MICROSOFT CORP,789019,8K,2021,Q1,2021-03-01,789019_8K_2021_0001193125-21-084239.htm
PALO ALTO NETWORKS INC,1327567,10K,2020,Q4,2020-01-01,1327567_10K_2021_0001327567-21-000029.htm
CERIDIAN HCM HOLDING,1725057,8K,2021,Q1,2021-03-01,1725057_8K_2021_0001193125-21-071502.htm
BLACKLINE INC,1666134,10Q,2020,Q4,2020-01-01,1666134_10Q_2021_0001666134-21-000010.htm
PARETEUM CORP,1084384,10Q,2019,Q4,2019-01-01,1084384_10Q_2020_0001628280-21-014268.htm
BOTTOMLINE TECHNOLOGIES INC,1073349,8K,2021,Q4,2021-12-01,1073349_8K_2021_0001193125-21-360087.htm
UPLAND SOFTWARE INC,1505155,8K,2021,Q4,2021-11-01,1505155_8K_2021_0001505155-21-000050.htm
FIREEYE INC,1370880,8K,2021,Q3,2021-10-01,1370880_8K_2021_0001370880-21-000042.htm
VDO-PH INTERNATIONAL INC,1499355,10Q,2020,Q4,2020-01-01,1499355_10Q_2021_0001829126-21-014548.htm
DATTO HOLDING CORP,1724570,8K,2021,Q4,2021-11-01,1724570_8K_2021_0001724570-21-000062.htm
SNOWFLAKE INC,1640147,10Q,2020,Q4,2020-01-01,1640147_10Q_2021_0001640147-21-000271.htm
DYNATRACE INC,1773383,8K,2021,Q2,2021-05-01,1773383_8K_2021_0001773383-21-000043.htm
ZOOM TELEPHONICS INC,1467761,8K,2021,Q4,2021-11-01,1467761_8K_2021_0001493152-21-028938.htm
SYNACOR INC,1408278,8K,2021,Q1,2021-04-01,1408278_8K_2021_0001193125-21-103408.htm
ANAPLAN INC,1540755,10Q,2020,Q4,2020-01-01,1540755_10Q_2021_0001540755-21-000069.htm
SYNCHRONOSS TECHNOLOGIES,1131554,8K,2021,Q2,2021-06-01,1131554_8K_2021_0001131554-21-000031.htm
Q2 HOLDINGS INC,1410384,8K,2021,Q4,2021-12-01,1410384_8K_2021_0001410384-21-000134.htm
MITEK SYSTEMS INC,807863,8K,2020,Q4,2020-01-01,807863_8K_2021_0000807863-21-000014.htm
ISSUER DIRECT CORP,843006,10K,2019,Q4,2019-01-01,843006_10K_2020_0001654954-21-002389.htm
ZUORA INC,1423774,8K,2021,Q1,2021-03-01,1423774_8K_2021_0001423774-21-000015.htm
CDK GLOBAL INC,1609702,8K,2021,Q2,2021-05-01,1609702_8K_2021_0000950142-21-001714.htm
FIVE9 INC,1288847,8K,2021,Q2,2021-07-01,1288847_8K_2021_0001288847-21-000108.htm
ANSYS INC,1013462,8K,2021,Q3,2021-10-01,1013462_8K_2021_0001013462-21-000043.htm
BSQUARE CORP,1054721,8K,2020,Q4,2020-01-01,1054721_8K_2021_0001437749-21-000771.htm
PAYLOCITY HOLDING CORP,1591698,8K,2021,Q3,2021-08-01,1591698_8K_2021_0001104659-21-100780.htm
A10 NETWORKS INC,1580808,10Q,2020,Q4,2020-01-01,1580808_10Q_2021_0001580808-21-000177.htm
COUPA SOFTWARE INC,1385867,8K,2021,Q2,2021-06-01,1385867_8K_2021_0001385867-21-000016.htm
CERIDIAN HCM HOLDING,1725057,10Q,2020,Q4,2020-01-01,1725057_10Q_2021_0001564590-21-040837.htm
ZIX CORP,855612,10Q,2020,Q4,2020-01-01,855612_10Q_2021_0001564590-21-055475.htm
BLACKLINE INC,1666134,8K,2021,Q1,2021-02-01,1666134_8K_2021_0001171843-21-000973.htm
BLACKBAUD INC,1280058,10Q,2020,Q4,2020-01-01,1280058_10Q_2021_0001280058-21-000021.htm
MONGODB INC,1441816,10Q,2020,Q4,2020-01-01,1441816_10Q_2021_0001441816-21-000095.htm
TAUTACHROME INC,1389067,10Q,2020,Q4,2020-01-01,1389067_10Q_2021_0001477932-21-005412.htm
VERINT SYSTEMS INC,1166388,8K,2021,Q1,2021-04-01,1166388_8K_2021_0001193125-21-108115.htm
MICROSOFT CORP,789019,8K,2020,Q4,2020-01-01,789019_8K_2021_0001193125-21-017683.htm
ASURE SOFTWARE INC,884144,8K,2021,Q3,2021-08-01,884144_8K_2021_0000884144-21-000009.htm
ADOBE INC,796343,8K,2021,Q2,2021-05-01,796343_8K_2021_0000796343-21-000128.htm
DOCUSIGN INC,1261333,8K,2021,Q1,2021-03-01,1261333_8K_2021_0001261333-21-000038.htm
SOLARWINDS CORP,1739942,10Q,2020,Q4,2020-01-01,1739942_10Q_2021_0001739942-21-000080.htm
GTY TECHNOLOGY HOLDINGS,1682325,10Q,2020,Q4,2020-01-01,1682325_10Q_2021_0001558370-21-010597.htm
BOTTOMLINE TECHNOLOGIES INC,1073349,10Q,2019,Q4,2019-01-01,1073349_10Q_2020_0001073349-21-000028.htm
TYLER TECHNOLOGIES INC,860731,8K,2021,Q1,2021-03-01,860731_8K_2021_0000860731-21-000016.htm
IDEANOMICS INC,837852,8K,2021,Q3,2021-08-01,837852_8K_2021_0001104659-21-110734.htm
RIOT BLOCKCHAIN INC,1167419,8K,2021,Q1,2021-04-01,1167419_8K_2021_0001079973-21-000253.htm
FALCONSTOR SOFTWARE INC,922521,10Q,2020,Q4,2020-01-01,922521_10Q_2021_0001628280-21-022817.htm
AVALARA INC,1348036,8K,2021,Q4,2021-11-01,1348036_8K_2021_0001564590-21-054546.htm
DROPBOX INC,1467623,8K,2021,Q1,2021-02-01,1467623_8K_2021_0001193125-21-061031.htm
PARETEUM CORP,1084384,8K,2021,Q3,2021-10-01,1084384_8K_2021_0001628280-21-019484.htm
JAMF HOLDING CORP,1721947,8K,2021,Q1,2021-03-01,1721947_8K_2021_0001558370-21-002374.htm
QUALYS INC,1107843,10Q,2020,Q4,2020-01-01,1107843_10Q_2021_0001437749-21-025112.htm
JAMF HOLDING CORP,1721947,10Q,2020,Q4,2020-01-01,1721947_10Q_2021_0001558370-21-006836.htm
NEW RELIC INC,1448056,10K,2020,Q4,2020-01-01,1448056_10K_2021_0001448056-21-000025.htm
SVMK INC,1739936,8K,2021,Q1,2021-02-01,1739936_8K_2021_0001564590-21-008810.htm
PHUNWARE INC,1665300,10K,2019,Q4,2019-01-01,1665300_10K_2020_0001628280-21-006256.htm
ZIX CORP,855612,8K,2021,Q4,2021-12-01,855612_8K_2021_0001193125-21-365769.htm
SAILPOINT TECHNO HLDG,1627857,8K,2021,Q2,2021-06-01,1627857_8K_2021_0001627857-21-000023.htm
DYNATRACE INC,1773383,10K,2020,Q4,2020-01-01,1773383_10K_2021_0001773383-21-000054.htm
TYLER TECHNOLOGIES INC,860731,8K,2021,Q1,2021-02-01,860731_8K_2021_0000860731-21-000005.htm
RIOT BLOCKCHAIN INC,1167419,8K,2021,Q3,2021-09-01,1167419_8K_2021_0001079973-21-000968.htm
GSE SYSTEMS INC,944480,10Q,2020,Q4,2020-01-01,944480_10Q_2021_0001140361-21-017672.htm
FIVE9 INC,1288847,10Q,2020,Q4,2020-01-01,1288847_10Q_2021_0001288847-21-000110.htm
APPFOLIO INC,1433195,8K,2021,Q3,2021-08-01,1433195_8K_2021_0001433195-21-000079.htm
NUANCE COMMUNICATIONS INC,1002517,8K,2021,Q2,2021-06-01,1002517_8K_2021_0001193125-21-182121.htm
SMITH MICRO SOFTWARE INC,948708,8K,2021,Q3,2021-08-01,948708_8K_2021_0001564590-21-040797.htm
ZOOM VIDEO COMUNICATIONS INC,1585521,10Q,2020,Q4,2020-01-01,1585521_10Q_2021_0001585521-21-000131.htm
TRADE DESK INC,1671933,8K,2021,Q1,2021-03-01,1671933_8K_2021_0001564590-21-016652.htm
WORKIVA INC,1445305,8K,2021,Q1,2021-02-01,1445305_8K_2021_0001445305-21-000034.htm
CADENCE DESIGN SYSTEMS INC,813672,8K,2021,Q2,2021-07-01,813672_8K_2021_0000813672-21-000027.htm
ASURE SOFTWARE INC,884144,8K,2021,Q3,2021-10-01,884144_8K_2021_0000884144-21-000016.htm
BENTLEY SYSTEMS INC,1031308,8K,2021,Q3,2021-08-01,1031308_8K_2021_0001628280-21-016330.htm
TELENAV INC,1474439,8K,2021,Q1,2021-02-01,1474439_8K_2021_0001193125-21-032319.htm
ALTERYX INC,1689923,8K,2021,Q1,2021-03-01,1689923_8K_2021_0001193125-21-076446.htm
ZOOMINFO TECHNOLOGIES,1794515,10Q,2020,Q4,2020-01-01,1794515_10Q_2021_0001794515-21-000318.htm
SECUREWORKS CORP,1468666,8K,2021,Q3,2021-09-01,1468666_8K_2021_0001468666-21-000035.htm
SMARTSHEET INC,1366561,10Q,2020,Q4,2020-01-01,1366561_10Q_2021_0001366561-21-000116.htm
CLEANSPARK INC,827876,10K,2020,Q4,2020-01-01,827876_10K_2021_0001663577-21-000668.htm
SVMK INC,1739936,8K,2021,Q1,2021-02-01,1739936_8K_2021_0001564590-21-005527.htm
GUIDEWIRE SOFTWARE INC,1528396,10K,2020,Q4,2020-01-01,1528396_10K_2021_0001528396-21-000095.htm
HUBSPOT INC,1404655,8K,2021,Q1,2021-02-01,1404655_8K_2021_0001564590-21-005546.htm
SALESFORCE.COM INC,1108524,8K,2021,Q2,2021-06-01,1108524_8K_2021_0001193125-21-204769.htm
RAPID7 INC,1560327,8K,2021,Q4,2021-11-01,1560327_8K_2021_0001560327-21-000167.htm
BSQUARE CORP,1054721,8K,2021,Q3,2021-08-01,1054721_8K_2021_0001437749-21-019721.htm
ELASTIC NV,1707753,8K,2021,Q3,2021-10-01,1707753_8K_2021_0001707753-21-000060.htm
TERADATA CORP,816761,8K,2021,Q1,2021-04-01,816761_8K_2021_0000816761-21-000013.htm
BOX INC,1372612,8K,2021,Q2,2021-05-01,1372612_8K_2021_0001193125-21-165511.htm
PALANTIR TECHNOLOG INC,1321655,8K,2021,Q2,2021-05-01,1321655_8K_2021_0001193125-21-156956.htm
YEXT INC,1614178,10Q,2020,Q4,2020-01-01,1614178_10Q_2021_0001614178-21-000251.htm
MONGODB INC,1441816,8K,2021,Q1,2021-03-01,1441816_8K_2021_0001441816-21-000046.htm
IDEANOMICS INC,837852,8K,2021,Q1,2021-02-01,837852_8K_2021_0001104659-21-009706.htm
MICROSOFT CORP,789019,8K,2021,Q1,2021-04-01,789019_8K_2021_0001193125-21-134213.htm
SYNOPSYS INC,883241,8K,2020,Q4,2020-01-01,883241_8K_2021_0001193125-21-016311.htm
SYNCHRONOSS TECHNOLOGIES,1131554,8K,2021,Q4,2021-11-01,1131554_8K_2021_0001131554-21-000076.htm
DYNATRACE INC,1773383,10Q,2020,Q4,2020-01-01,1773383_10Q_2021_0001773383-21-000083.htm
ASANA INC,1477720,10Q,2020,Q4,2020-01-01,1477720_10Q_2021_0001477720-21-000028.htm
BSQUARE CORP,1054721,8K,2021,Q2,2021-05-01,1054721_8K_2021_0001437749-21-012092.htm
RIOT BLOCKCHAIN INC,1167419,8K,2021,Q1,2021-04-01,1167419_8K_2021_0001079973-21-000310.htm
BIGCOMMERCE HOLDIN INC,1626450,8K,2021,Q4,2021-12-01,1626450_8K_2021_0001193125-21-346039.htm
OBLONG INC,746210,10Q,2020,Q4,2020-01-01,746210_10Q_2021_0000746210-21-000055.htm
DOMO INC,1505952,8K,2021,Q2,2021-06-01,1505952_8K_2021_0001505952-21-000015.htm
MIX TELEMATICS LTD,1576914,8K,2021,Q2,2021-07-01,1576914_8K_2021_0001628280-21-014810.htm
JACK IN THE BOX INC,807882,10K,2020,Q4,2020-01-01,807882_10K_2021_0000807882-21-000016.htm
NUTANIX INC,1618732,8K,2021,Q4,2021-11-01,1618732_8K_2021_0001157523-21-001446.htm
PARETEUM CORP,1084384,10Q,2019,Q4,2019-01-01,1084384_10Q_2020_0001628280-21-014697.htm
SPS COMMERCE INC,1092699,10Q,2020,Q4,2020-01-01,1092699_10Q_2021_0001564590-21-039148.htm
SPLUNK INC,1353283,8K,2021,Q2,2021-07-01,1353283_8K_2021_0001104659-21-090645.htm
AGILYSYS INC,78749,8K,2020,Q4,2020-01-01,78749_8K_2021_0001564590-21-001142.htm
VERINT SYSTEMS INC,1166388,8K,2021,Q4,2021-11-01,1166388_8K_2021_0001166388-21-000131.htm
ASANA INC,1477720,8K,2021,Q3,2021-09-01,1477720_8K_2021_0001477720-21-000051.htm
QAD INC,1036188,8K,2021,Q2,2021-06-01,1036188_8K_2021_0001437749-21-015979.htm
ELASTIC NV,1707753,8K,2021,Q2,2021-06-01,1707753_8K_2021_0001707753-21-000018.htm
PAGERDUTY INC,1568100,8K,2021,Q2,2021-06-01,1568100_8K_2021_0001568100-21-000026.htm
SERVICENOW INC,1373715,10K,2019,Q4,2019-01-01,1373715_10K_2020_0001373715-21-000061.htm
ONESPAN INC,1044777,8K,2021,Q2,2021-06-01,1044777_8K_2021_0001558370-21-008145.htm
RIOT BLOCKCHAIN INC,1167419,8K,2021,Q1,2021-04-01,1167419_8K_2021_0001079973-21-000272.htm
COMMVAULT SYSTEMS INC,1169561,10Q,2019,Q4,2019-01-01,1169561_10Q_2020_0001169561-21-000008.htm
PALO ALTO NETWORKS INC,1327567,8K,2021,Q3,2021-08-01,1327567_8K_2021_0001327567-21-000020.htm
INTUIT INC,896878,8K,2021,Q3,2021-08-01,896878_8K_2021_0000896878-21-000205.htm
ZSCALER INC,1713683,8K,2021,Q4,2021-11-01,1713683_8K_2021_0001713683-21-000229.htm
BOXLIGHT CORP,1624512,8K,2021,Q3,2021-10-01,1624512_8K_2021_0001493152-21-026634.htm
DIGITAL TURBINE INC,317788,8K,2021,Q1,2021-03-01,317788_8K_2021_0001628280-21-003533.htm
A10 NETWORKS INC,1580808,10Q,2020,Q4,2020-01-01,1580808_10Q_2021_0001580808-21-000077.htm
SERVICENOW INC,1373715,8K,2021,Q3,2021-08-01,1373715_8K_2021_0001373715-21-000205.htm
CORNERSTONE ONDEMAND INC,1401680,8K,2021,Q3,2021-09-01,1401680_8K_2021_0001193125-21-278418.htm
ZOOMINFO TECHNOLOGIES,1794515,10Q,2020,Q4,2020-01-01,1794515_10Q_2021_0001794515-21-000194.htm
BLACKBAUD INC,1280058,8K,2021,Q3,2021-08-01,1280058_8K_2021_0001280058-21-000031.htm
BOTTOMLINE TECHNOLOGIES INC,1073349,8K,2021,Q4,2021-11-01,1073349_8K_2021_0001073349-21-000140.htm
BENEFITFOCUS INC,1576169,8K,2021,Q2,2021-05-01,1576169_8K_2021_0001104659-21-061736.htm
SPLUNK INC,1353283,10Q,2020,Q4,2020-01-01,1353283_10Q_2021_0001353283-21-000026.htm
NORTONLIFELOCK INC,849399,8K,2021,Q1,2021-02-01,849399_8K_2021_0001157523-21-000144.htm
TRADE DESK INC,1671933,8K,2021,Q1,2021-02-01,1671933_8K_2021_0001157523-21-000211.htm
MAX SOUND CORP,1353499,8K,2021,Q2,2021-05-01,1353499_8K_2021_0001477932-21-003376.htm
MIX TELEMATICS LTD,1576914,8K,2021,Q4,2021-12-01,1576914_8K_2021_0001628280-21-024812.htm
ISSUER DIRECT CORP,843006,10Q,2020,Q4,2020-01-01,843006_10Q_2021_0001654954-21-011699.htm
FALCONSTOR SOFTWARE INC,922521,8K,2021,Q2,2021-05-01,922521_8K_2021_0001628280-21-009082.htm
DATTO HOLDING CORP,1724570,10Q,2020,Q4,2020-01-01,1724570_10Q_2021_0001724570-21-000064.htm
DIGITAL TURBINE INC,317788,8K,2021,Q4,2021-11-01,317788_8K_2021_0001104659-21-137973.htm
NUTANIX INC,1618732,10Q,2020,Q4,2020-01-01,1618732_10Q_2021_0001564590-21-010978.htm
BENTLEY SYSTEMS INC,1031308,8K,2021,Q2,2021-06-01,1031308_8K_2021_0001104659-21-084201.htm
CADENCE DESIGN SYSTEMS INC,813672,10Q,2020,Q4,2020-01-01,813672_10Q_2021_0000813672-21-000016.htm
J2 GLOBAL INC,1084048,8K,2021,Q2,2021-05-01,1084048_8K_2021_0001084048-21-000030.htm
APPFOLIO INC,1433195,10Q,2020,Q4,2020-01-01,1433195_10Q_2021_0001433195-21-000044.htm
PEGASYSTEMS INC,1013857,10Q,2020,Q4,2020-01-01,1013857_10Q_2021_0001013857-21-000242.htm
AWARE INC,1015739,8K,2021,Q1,2021-04-01,1015739_8K_2021_0001193125-21-134241.htm
AVALARA INC,1348036,8K,2021,Q2,2021-06-01,1348036_8K_2021_0001193125-21-203307.htm
CIPHERLOC CORP,1022505,8K,2021,Q3,2021-09-01,1022505_8K_2021_0001493152-21-024153.htm
DOCUSIGN INC,1261333,10Q,2020,Q4,2020-01-01,1261333_10Q_2021_0001261333-21-000214.htm
INUVO INC,829323,10K,2020,Q4,2020-01-01,829323_10K_2020_0000829323-21-000010.htm
RIOT BLOCKCHAIN INC,1167419,8K,2021,Q1,2021-03-01,1167419_8K_2021_0001079973-21-000184.htm
CHANNELADVISOR CORP,1169652,8K,2021,Q1,2021-02-01,1169652_8K_2021_0001169652-21-000016.htm
BENEFITFOCUS INC,1576169,8K,2021,Q3,2021-08-01,1576169_8K_2021_0001564590-21-040270.htm
CLOUDFLARE INC,1477333,10Q,2020,Q4,2020-01-01,1477333_10Q_2021_0001477333-21-000045.htm
ASPEN TECHNOLOGY INC,929940,10K,2020,Q4,2020-01-01,929940_10K_2021_0000929940-21-000060.htm
PAGERDUTY INC,1568100,10K,2019,Q4,2019-01-01,1568100_10K_2021_0001568100-21-000011.htm
BILL.COM HOLDINGS INC,1786352,10K,2020,Q4,2020-01-01,1786352_10K_2021_0001564590-21-046383.htm
CADENCE DESIGN SYSTEMS INC,813672,8K,2021,Q1,2021-02-01,813672_8K_2021_0001193125-21-041810.htm
QUALYS INC,1107843,8K,2021,Q2,2021-06-01,1107843_8K_2021_0001193125-21-188846.htm
QAD INC,1036188,8K,2021,Q1,2021-03-01,1036188_8K_2021_0001437749-21-007029.htm
SS&C TECHNOLOGIES HLDGS INC,1402436,10K,2019,Q4,2019-01-01,1402436_10K_2020_0001564590-21-008862.htm
GSE SYSTEMS INC,944480,8K,2021,Q2,2021-06-01,944480_8K_2021_0000944480-21-000028.htm
PARK CITY GROUP INC,50471,8K,2021,Q4,2021-11-01,50471_8K_2021_0001851734-21-000119.htm
YEXT INC,1614178,8K,2021,Q2,2021-05-01,1614178_8K_2021_0001614178-21-000105.htm
BOTTOMLINE TECHNOLOGIES INC,1073349,8K,2021,Q1,2021-03-01,1073349_8K_2021_0001073349-21-000047.htm
DIGITAL TURBINE INC,317788,8K,2021,Q1,2021-02-01,317788_8K_2021_0001628280-21-001376.htm
SOLARWINDS CORP,1739942,8K,2021,Q1,2021-04-01,1739942_8K_2021_0001739942-21-000069.htm
CLEANSPARK INC,827876,8K,2021,Q4,2021-12-01,827876_8K_2021_0001663577-21-000670.htm
TWILIO INC,1447669,8K,2021,Q1,2021-03-01,1447669_8K_2021_0001193125-21-062485.htm
ADOBE INC,796343,10K,2020,Q4,2020-01-01,796343_10K_2020_0000796343-21-000004.htm
SMITH MICRO SOFTWARE INC,948708,10Q,2020,Q4,2020-01-01,948708_10Q_2021_0001564590-21-043945.htm
AVAYA HLDGS CORP,1418100,10Q,2020,Q4,2020-01-01,1418100_10Q_2021_0001418100-21-000065.htm
TWILIO INC,1447669,8K,2021,Q2,2021-06-01,1447669_8K_2021_0001447669-21-000163.htm
BIGCOMMERCE HOLDIN INC,1626450,10Q,2020,Q4,2020-01-01,1626450_10Q_2021_0001564590-21-056559.htm
CITRIX SYSTEMS INC,877890,8K,2021,Q3,2021-10-01,877890_8K_2021_0001193125-21-293163.htm
BRIDGELINE DIGITAL INC,1378590,10Q,2019,Q4,2019-01-01,1378590_10Q_2020_0001437749-21-002639.htm
CLOUDERA INC,1535379,8K,2021,Q3,2021-10-01,1535379_8K_2021_0001193125-21-294924.htm
CERENCE INC,1768267,8K,2021,Q1,2021-02-01,1768267_8K_2021_0001564590-21-004597.htm
IDEANOMICS INC,837852,8K,2021,Q1,2021-02-01,837852_8K_2021_0001104659-21-011524.htm
ENVESTNET INC,1337619,8K,2021,Q2,2021-05-01,1337619_8K_2021_0001193125-21-160626.htm
PAYCHEX INC,723531,8K,2021,Q2,2021-06-01,723531_8K_2021_0000723531-21-000027.htm
AVALARA INC,1348036,8K,2021,Q1,2021-02-01,1348036_8K_2021_0001564590-21-005275.htm
BSQUARE CORP,1054721,10K,2019,Q4,2019-01-01,1054721_10K_2020_0001437749-21-006492.htm
ONESPAN INC,1044777,10Q,2020,Q4,2020-01-01,1044777_10Q_2021_0001558370-21-010220.htm
SHARPSPRING INC,1506439,8K,2021,Q1,2021-02-01,1506439_8K_2021_0001654954-21-001831.htm
SPLUNK INC,1353283,8K,2021,Q4,2021-11-01,1353283_8K_2021_0001104659-21-141270.htm
SEACHANGE INTERNATIONAL INC,1019671,8K,2021,Q4,2021-12-01,1019671_8K_2021_0001193125-21-365076.htm
MITEK SYSTEMS INC,807863,8K,2021,Q4,2021-11-01,807863_8K_2021_0000807863-21-000090.htm
